date,av_eurusd_close
2017-06-20,1.11350
2017-06-19,1.11517
2017-06-16,1.11837
2017-06-15,1.11462
2017-06-14,1.12097
2017-06-13,1.12075
2017-06-12,1.12011
2017-06-09,1.11940
2017-06-08,1.12034
2017-06-07,1.12580
2017-06-06,1.12774
2017-06-05,1.12581
2017-06-02,1.12790
2017-06-01,1.12186
2017-05-31,1.12387
2017-05-30,1.11734
2017-05-29,1.11385
2017-05-26,1.11770
2017-05-25,1.12127
2017-05-24,1.12169
2017-05-23,1.11870
2017-05-22,1.12384
2017-05-19,1.12040
2017-05-18,1.11076
2017-05-17,1.11614
2017-05-16,1.10946
2017-05-15,1.09808
2017-05-12,1.09260
2017-05-11,1.08633
2017-05-10,1.08659
2017-05-09,1.08819
2017-05-08,1.09252
2017-05-05,1.09950
2017-05-04,1.09802
2017-05-03,1.08886
2017-05-02,1.09308
2017-05-01,1.09100
2017-04-28,1.08932
2017-04-27,1.08701
2017-04-26,1.09084
2017-04-25,1.09295
2017-04-24,1.08675
2017-04-21,1.07246
2017-04-20,1.07143
2017-04-19,1.07140
2017-04-18,1.07289
2017-04-17,1.06409
2017-04-14,1.06117
2017-04-13,1.06161
2017-04-12,1.06665
2017-04-11,1.06042
2017-04-10,1.05982
2017-04-07,1.05895
2017-04-06,1.06429
2017-04-05,1.06687
2017-04-04,1.06791
2017-04-03,1.06667
2017-03-31,1.06630
2017-03-30,1.06841
2017-03-29,1.07649
2017-03-28,1.08140
2017-03-27,1.08647
2017-03-24,1.07950
2017-03-23,1.07822
2017-03-22,1.07936
2017-03-21,1.08117
2017-03-20,1.07338
2017-03-17,1.07338
2017-03-16,1.07713
2017-03-15,1.07301
2017-03-14,1.06087
2017-03-13,1.06515
2017-03-10,1.06700
2017-03-09,1.05760
2017-03-08,1.05406
2017-03-07,1.05672
2017-03-06,1.05815
2017-03-03,1.06182
2017-03-02,1.05065
2017-03-01,1.05508
2017-02-28,1.05728
2017-02-27,1.05864
2017-02-24,1.05510
2017-02-23,1.05775
2017-02-22,1.05560
2017-02-21,1.05354
2017-02-20,1.06137
2017-02-17,1.06128
2017-02-16,1.06681
2017-02-15,1.05916
2017-02-14,1.05773
2017-02-13,1.05943
2017-02-10,1.06370
2017-02-09,1.06526
2017-02-08,1.06952
2017-02-07,1.06805
2017-02-06,1.07478
2017-02-03,1.07804
2017-02-02,1.07619
2017-02-01,1.07668
2017-01-31,1.07954
2017-01-30,1.07011
2017-01-27,1.06979
2017-01-26,1.06799
2017-01-25,1.07496
2017-01-24,1.07312
2017-01-23,1.07719
2017-01-20,1.06990
2017-01-19,1.06582
2017-01-18,1.06336
2017-01-17,1.07108
2017-01-16,1.05994
2017-01-13,1.06399
2017-01-12,1.06119
2017-01-11,1.05833
2017-01-10,1.05562
2017-01-09,1.05838
2017-01-06,1.05320
2017-01-05,1.06021
2017-01-04,1.04871
2017-01-03,1.04090
2017-01-02,1.04622
2016-12-30,1.05160
2016-12-29,1.04925
